producers,directors
[],[]
['4529114'],['4529114']
[],['2553357']
"['7305818', '1051736', '10573180']",['1636619']
[],"['3107888', '2364602']"
[],['9909259']
[],"['10582613', '0896139']"
[],['5694753']
"['10051376', '10128868', '10128869']",['9909259']
"['1434647', '1633269', '11638744', '9290267', '2669989', '0792438', '8568797', '0921627']","['2669989', '11638743']"
[],['8575502']
"['9927407', '6043198', '10556021']","['6043198', '5424278']"
[],['1628156']
['3757192'],['12255127']
"['9526002', '2966252', '4775123', '9672560', '9526004', '1461102', '10530067']",['4775123']
[],['2621812']
"['2116598', '0368979', '2488088', '2797554', '2488310', '9790620', '2981093', '9072856', '3639621', '4438749', '6489310', '4397692']",['2128776']
['10148813'],['10148813']
[],['8575245']
"['8555615', '7179736', '6714451', '6714455']","['9845033', '7650383', '7278394', '6563251']"
[],['7000309']
"['4184783', '0375033', '8592385', '3290434', '2914509']","['4184783', '8592385']"
[],['1060975']
"['10960360', '7802695']","['11005999', '5399894', '11005996', '11005998', '11005997']"
"['0043233', '10890939', '9178643', '1220715', '6206178', '0367286', '9611824', '1678382', '6417654', '10674763', '1905252', '3126318', '2100284', '0001675', '0800465', '5445201', '8937635', '4746149']",['0038432']
['5109482'],['6097498']
"['3114363', '4614858', '3113835', '1259605', '3212701', '3511954', '3978847', '5521895', '2342965', '4771991']","['2853644', '5520869']"
"['2699875', '3490121', '3091261', '5313125']",['3490121']
"['0067250', '3212784', '1819369']","['2746566', '1389969']"
['4529114'],['4529114']
['4529114'],['4529114']
[],['9909259']
['10051376'],['9909259']
"['3588824', '3284935']",['0728883']
"['10960360', '7802695']","['11002268', '11002265', '3707362', '11002267', '5399894', '2987148', '9671543']"
['3208608'],['5142155']
['6614458'],['2013928']
['8585275'],"['5592581', '5598697']"
['13112524'],['13112524']
['10129044'],['10129044']
[],['9909259']
['11115588'],['11115588']
"['3682080', '11086888', '4885177', '1315809', '0999118', '5311289', '4082913']",['0408043']
"['9093543', '10945956', '4752699', '2955829', '5398118', '2847097']","['0951456', '4922287']"
"['2790572', '0238941', '10101638']",['3021346']
"['11607592', '11607595', '11607594', '11607591', '0473539', '0767979', '1259616', '11607593', '9740804']",['2268014']
['11625815'],['9844469']
"['3302333', '0162317', '0321333', '1165365', '3495682', '1335650', '1138341']",['0560434']
[],['9909259']
[],['9173198']
"['1453935', '0372329', '1873168', '0577560', '2454185']","['0719208', '3646390']"
"['10960360', '7802695']","['9349990', '11002243', '5399894', '2225404', '11002244', '2314793', '11002242', '9671543']"
"['7254237', '9209043', '2823870', '11439761', '9061199', '4546715']",['1238086']
[],['9439876']
[],[]
['6478535'],['6478535']
[],['10451906']
[],['10451914']
[],['9439876']
[],['9332147']
"['0097001', '0123135', '1863341', '0258627', '1220715', '1458571', '0290454', '1458626', '0321554', '3997085', '5840082', '2226096', '1217048', '2947734', '0547880', '0591763', '2550741', '2990337', '0649663', '1369384', '7782138', '2130108', '1416642', '10211541', '2551900', '2185250', '3100836', '0800465', '1417039', '4174920', '6695493', '1417340', '0082895']",['1863341']
"['10071007', '0198746', '1054433', '3774536', '3277695', '9489851']",['0198746']
"['2678444', '1549716', '0473539', '2156320', '2079411', '4471266', '7086842', '10751436', '3192437', '8263403', '12017537', '1482702', '4370574']",['1482702']
"['10051376', '9909261']",['9909259']
"['0230032', '0630923', '0714066', '0729304', '0764780', '0004056', '3300040', '0839877', '0881279']",['2155757']
"['0323007', '1572145', '2847097']","['0481451', '0681422']"
"['6995261', '3689543', '0441546', '5022461', '8549478', '8549477', '0615442', '8024463', '1258118', '8289961', '2292408', '2619713', '3679821', '10322468', '5197781', '0949828', '0949899']","['2529521', '1207195']"
[],['10129044']
[],"['10760164', '8575502']"
[],['0442828']
['11078023'],['1590302']
"['2958986', '0707370', '9640880', '4512918']","['0412247', '9640880']"
"['10680464', '3309461', '12017395', '6273953', '6851863', '12017392', '12017393', '5862500', '8961432', '8073258', '5941683', '2500139', '4992847', '7993105', '6764288', '9365142', '12017390', '12017394', '12017391', '5561379']",['1637806']
[],['1598205']
"['10804830', '5741106', '10804829', '10804831']",['1182208']
['9173199'],['5694753']
"['2545239', '2925947']",['2925947']
['9357396'],['12756443']
['9357396'],['12756443']
['10706866'],['10709038']
[],['2553357']
[],['3634567']
"['10051376', '10128868', '9909261', '10128869']",['9909259']
['10616103'],['10616103']
[],['6297586']
"['7537260', '0410985', '4988204', '4371294']","['1012102', '4114096', '0951197']"
[],"['8718960', '1101187']"
"['2962362', '0098149', '0269463', '2004404', '0670621', '0776665', '0798711', '0853380', '0893097']",['0269463']
"['11088223', '2815358', '10847687']",['1169562']
"['1567701', '1879798', '0954795']",['1070696']
[],['9844469']
"['12336709', '12336689']","['12336709', '12336689']"
[],['10787106']
[],['10812587']
"['10960360', '7802695']","['9088561', '4974621', '11002174', '10971476', '10960354', '11002175', '10745952', '11002176']"
"['3405203', '8631683', '4591534']",['4746844']
"['0181883', '0471172', '3262328', '1882146', '3303706', '0882388', '3617116']",['1602528']
"['4219729', '11539726', '8971393', '6194348', '6028303', '10895594', '9982301', '11539725', '11539723', '10837233', '10854333', '4786710', '11539721', '11539724', '6194356', '3609511', '11539722']","['1406845', '7464857', '9045599']"
"['0990924', '1458283', '4424289', '10193071', '0812709', '0897610']","['1458283', '2088368']"
['0448377'],"['10571310', '1211088']"
"['10814467', '1520917']",['2445201']
"['1672365', '1315809', '0999118']",['0945724']
"['0368979', '2511908', '2488088', '2797554', '3441844', '6614458', '2488310', '5941683', '9024437', '2981093', '3639621', '4438749', '9785236', '9785237']","['7743299', '2518118']"
[],['6955838']
"['2404514', '5246259', '1372858', '2639354']","['0060505', '0975298']"
"['0061671', '1322521', '2805697', '2588950', '0457453', '0912403', '0934671']","['3006131', '0723470']"
['5153216'],['5153216']
['10051376'],['9909259']
['5643041'],"['4271149', '3877467', '7312960']"
[],['9909259']
[],['3603277']
"['1147810', '1891363', '10913103']",['2014990']
"['4477040', '0124900', '9364944', '2995520', '0291572', '0402347', '2456892', '2864129', '2083985', '6252800', '6155583', '10582836', '2468128', '7472552', '2603919', '6816881', '1306678', '0005519', '0970447', '4206265', '0930964', '1284806', '10582838']",['0425557']
[],['9927025']
['4580136'],['4580136']
['5694753'],['6110785']
"['8888809', '10128868', '10128869', '9611000']",['9909259']
[],"['10880739', '9814062']"
"['10960360', '7802695']","['3065869', '10960353', '10960352', '2011232', '10960354', '2314793']"
"['11541973', '0763148']","['11541973', '0763148']"
"['10631819', '10631818']",['10451906']
[],['8957554']
"['1494886', '1831309', '0162735', '2939472', '12386169', '1570873', '8172087', '1619680', '1248511', '2901010', '0502244', '8008968', '1394761', '0742457', '4154696', '3007540']",['1494886']
"['10279845', '9965121', '4081008', '1757129', '1897322', '5167182', '2804153', '0463582', '3105213', '13089933', '13089934', '6195084', '2079411', '0645817', '8319346', '13089935', '10279841', '6209194']",['1077423']
"['10879835', '10879836']",['10879834']
"['4866517', '5513560', '2213147', '1883257', '11343898']","['9796557', '9796556', '9796555']"
"['11329927', '11329928']","['11329927', '11329928']"
"['6928339', '0110333', '5692839', '5015422']","['5692839', '2320372']"
"['1046088', '5109556']",['1993246']
"['5692878', '5124810', '1866268', '0587997', '3161792', '1203810', '5107205', '2246319', '3566987', '1509955', '0927896']","['3566987', '5124810', '3161792']"
"['11750752', '1707265', '0889253', '11750754', '0910999', '11750753', '11754058', '0948523']",['0948523']
[],['5643041']
[],[]
[],['10316428']
"['11471844', '11471836', '11471838', '11471840']",['11471836']
"['1330174', '1513657', '1909785', '0426333', '2548474', '0819505', '4566528']","['0191717', '1392282']"
"['10051376', '9909261']",['9909259']
[],['9909259']
['4024796'],['5694753']
"['2297011', '3847071', '3172727', '1879093', '6127283']",['5111333']
"['1244137', '3099018', '2785921', '1914856', '1590326', '1915556', '0567079']","['1834360', '3475019']"
['9055480'],['9055480']
[],['10887206']
"['10960360', '7802695']","['9349990', '10960353', '2011232', '10971476', '2225404', '10745952']"
['5694753'],['6110785']
['10990480'],['6600941']
['5776349'],['11763643']
[],['2423816']
"['7370231', '0098153', '8320699', '6897598', '0273429', '11278937', '6644906', '4815233', '1413174', '6473576', '3059955', '0958660']","['0327244', '2857166']"
"['10383373', '6303706', '2594049', '4174285']","['3743192', '2594049']"
['10622154'],['9844459']
[],['5972397']
[],['10714131']
"['1485380', '0123666', '5566761', '5566735', '1286457', '1385754', '2124717', '0520485', '2776286', '0661910', '0791185', '0819862', '0326450']","['2192511', '4503368']"
"['0046612', '1314345', '2475516', '0421639', '1055631', '6414835', '0469869', '4590749', '9419075', '2926994', '4874255', '4120201']","['0605186', '0943288']"
[],['11315648']
[],['2150730']
"['10152979', '2463371', '2358786', '0408705', '6568718', '2275969', '3974506', '9651121', '1672065']","['1462317', '1302411']"
"['10960360', '7802695']","['4974621', '5399894', '5473191', '6230142', '3033109']"
"['2732832', '9739487', '9739488', '2739071']",['2732832']
"['0115825', '1607274', '8505713', '4814897', '1396383', '1346629', '3491310', '7230760', '1754635', '3793585', '3897677', '1159871', '4596180', '0703697', '1041275', '3063912', '2130173', '3439054', '3936238', '8557316', '0888614', '10487063', '0959109']","['0115825', '1346629']"
"['11928196', '10128868', '9909261', '10128869']",['9909259']
['0492076'],"['1946585', '1947964']"
['1494496'],"['6920555', '1494496']"
"['0051643', '1860603', '10532711', '0158359', '13517474', '5447307', '13517477', '5083790', '13517476', '13517471', '10257106', '0399011', '13517473', '13517468', '13517467', '5644861', '6206158', '13517479', '13387813', '11984629', '8175020', '13517478', '4693566', '1403581', '8593490', '13517475', '13517481', '11984626', '13517480', '13517472', '13517469', '1937792', '13517470', '1713280', '11984628']","['0040619', '0399011']"
"['0471172', '0515005', '3283541', '2276130', '1882146', '1131680']","['4982437', '0515005']"
"['11043942', '4001554', '11043937', '11043934', '9365144', '1994558', '11043933', '2862139', '2154327', '1232950', '5137185', '10137853', '11043943', '11043938', '1780188', '2873149', '2515592', '11043935', '2934722', '9757666', '9365140', '11043940', '11043941', '11043939', '11043936']","['8679686', '2420940']"
"['2759607', '5185907', '6977580', '11006136', '3051832', '2324815', '6937138', '6958535', '2965862']",['6466474']
"['10051376', '10128868', '9909261', '10128869']",['9909259']
[],['10451906']
"['8892726', '8892749']",['8892726']
"['0067250', '3161201', '3212784', '2539805', '2275969', '0643371', '1819369']",['0902741']
"['2929057', '2171473']",['2171473']
"['2915234', '1806674', '2223210', '2275969', '0581565', '0596030', '0597026', '3466319']","['0562775', '0896139', '3926624', '0920492']"
[],['10548225']
"['0075762', '6672783', '0247367', '3337617', '0317943', '1627265', '1906966', '3845819', '3879410', '0639423', '1945511', '10689570', '1306678', '4432066', '0970447', '0954561']","['0862911', '0970447']"
"['10960360', '7802695']","['11005999', '9349990', '10960353', '0529415', '5399894', '10960354', '11033283']"
"['4105863', '0335489']",['0335489']
[],['10129044']
"['10051376', '10128868', '9909261', '10128869']",['9909259']
[],['9909259']
['4024796'],['5694753']
[],"['2481749', '12975278', '10597053', '5794765', '7112877', '0799580']"
['12301678'],['9526846']
['1641305'],['1641305']
[],['7807933']
"['1650390', '0783652']",['7704725']
[],['11237108']
[],['3256781']
[],['2150730']
[],['2150730']
[],['8205508']
"['8616475', '9176740', '9176741', '9161385', '2830982']",['9176740']
"['4440708', '6590159', '11283685']","['1567684', '6167643']"
"['10960360', '7802695']","['0255540', '4974621', '2011232', '10745952']"
['2055607'],['1287116']
"['1531272', '0188443', '0494020', '0587997', '1203810', '2246319', '0850733']",['0850733']
[],['3303903']
[],"['8823863', '8823864', '11081358', '8240908', '11081359', '11081360', '11081361', '11081362', '11081364', '8823865']"
"['0064125', '4041552', '2028380', '5256756', '1580131', '5288086']",['2028380']
"['0020334', '6372355', '5226140', '1116468', '6941270', '0186151', '7604280', '1628457', '4169351', '4100929', '3713130', '5022461', '2126651', '8549478', '8549477', '5816161', '2190657', '0597258', '1729175', '3067142']",['0005616']
"['7655991', '7655987']",['7655991']
[],['9610998']
[],['10129044']
[],['9844116']
['10622154'],['9844459']
['3484164'],['5643041']
"['1275326', '0372546', '0397174']","['0118333', '1601644']"
[],['9844459']
"['0228573', '0436901', '0459996', '3924606', '11252938']",['0459996']
[],['6088345']
[],[]
"['0027160', '10510009', '0273832', '0291572', '0303922', '1380146', '1481660', '0655053', '9282610', '1258638']","['0655053', '3582089']"
"['10960360', '7802695']","['9349990', '0529415', '5399894', '11005998', '11002176']"
"['1237695', '2045478', '11106246']",['2045478']
"['0238782', '0746170']","['0208620', '0238782', '0401563', '1913940', '2929668']"
"['8949478', '1938574']",['1010731']
"['10886571', '1633269', '7375816', '6589423', '2846368', '6369286', '0921627']",['2846368']
['10786417'],['10786417']
"['5244313', '7839509']","['2365242', '11933121']"
[],['0766272']
['13483802'],['13483802']
"['10960360', '7802695']","['5488897', '7327028', '4974621', '5399894', '8412889', '6230142']"
['11443137'],['11443137']
[],['7279709']
['9607400'],['5728875']
"['10622154', '0057570', '10450071', '2580264', '10622155']",['9909259']
[],['0866707']
[],['2150730']
['10148813'],['10148813']
"['8888809', '10128868', '10128869', '11312121']",['11059100']
"['11928196', '10128868', '9909261', '10128869']",['9909259']
"['11848851', '10128868', '10128869', '12747167']",['9909259']
[],['9909259']
['3484164'],['10129044']
"['10489571', '1858656', '0632837', '0867768', '0871303', '0917188']","['2939767', '0702863']"
[],[]
"['0008375', '2037707', '1843982', '4384370', '7254237', '9209043', '5641384', '11086888', '12200465', '11439761', '1315809', '4463831', '0999118', '10214939', '5311289']",['0945724']
[],['10451906']
"['3302938', '5645301']",['9844116']
"['1117203', '3583562', '0378385', '0402599', '6769481', '2759244', '5739154', '1672429', '0807421', '7338636']",['0807421']
"['10960360', '7802695']","['1418321', '0529415', '5399894', '2580313', '10745952', '11002242']"
"['8557208', '0116369', '3039234', '1390399', '2897837']",['0215241']
"['4867128', '5821341', '2701954', '0701813', '3173128']",['2660491']
[],['9844116']
[],"['12228864', '12383856', '12383857']"
[],[]
"['4637987', '11516148', '7494712', '4081008', '5896878', '11516150', '2097733', '1251784', '11516146', '9045213', '4875458', '11516145', '8615517', '4922039', '7631726', '9365146', '4431950', '11516147', '11516149', '2246748']",['7612957']
"['12691709', '10569510', '10362947', '4081008', '8193299', '10362907', '1757129', '5363346', '7879079', '1549716', '3797697', '7432999', '7432998', '13093447', '10362908', '6171201', '3984065', '13093573', '0473539', '10362948', '10362951', '10362906', '11056031', '0645817', '0767979', '6760749', '0847692', '5014738', '6209194', '8263403', '13093448']",['1091436']
['10190799'],['10190799']
['4585495'],['4585495']
[],['0910424']
['5694753'],['6110785']
[],['6427271']
"['2378356', '6770489', '8412894']","['2007949', '8412889', '2241901']"
"['4081008', '4993331', '1549716', '2286030', '3105213', '8970015', '0590915', '2890357', '5321876', '2671904', '8142488', '5903092', '12730702', '13248551', '13126289', '6760748', '9740804']",['2568279']
"['10960360', '7802695']","['9349990', '4974621', '3056067', '5399894', '2913370', '11002175']"
[],['10926602']
[],[]
"['1627044', '1938863', '2360791', '3746457', '12604645', '12604646']",['0721351']
"['1650390', '0783652']","['2239528', '2591840']"
['5726711'],['5726711']
['12860178'],['0407517']
[],"['6515139', '3957042', '6515132']"
[],['10763403']
"['5012822', '1291818', '4890061', '0411942', '2320372', '0591036', '4459388']","['6251127', '3108427', '1291818', '1439341', '8927627', '8687894', '5692839', '1621363', '5531209', '8574395']"
"['10886073', '8788839']",['8788839']
['10945628'],['0631539']
[],['9173198']
['11742957'],['5694753']
['11993841'],['9173198']
[],['4963680']
['12033416'],['5694753']
['12033416'],['5694753']
['12033416'],['5694753']
['12079915'],['5694753']
['12079915'],['5694753']
['12131202'],['5694753']
['12139788'],['5694753']
['12033416'],['5694753']
['10128901'],['9844116']
['12190830'],['6097498']
['5109482'],['6097498']
"['0814406', '1811672']",['6227022']
['12646494'],['5694753']
['12646494'],['5694753']
['12646494'],['5694753']
['9173199'],['5694753']
['9173199'],['5694753']
['12876507'],['5694753']
[],['5694753']
[],[]
[],[]
['12876507'],['5694753']
['12876507'],['5694753']
['13446557'],['5694753']
['3887187'],['3887187']
[],['5694753']
['7429064'],['6422754']
"['10960360', '7802695']","['9349990', '11002267', '0529415', '5399894', '7288398']"
['7571652'],"['0460146', '0732480']"
['10051376'],['9909259']
['9844462'],[]
"['11201635', '8798103', '8798101', '11808312', '6010027']",['11201615']
"['7856929', '8568902', '11252696']",['8622744']
"['1480420', '1491111', '4111213', '7944328', '2652213', '6110511']",['10604429']
['2966896'],"['1167962', '3550885']"
"['9028189', '12882295']","['9028189', '12882423']"
"['12463225', '10136814', '4680337', '12282259', '7879079', '5997114', '1909353', '11516146', '7616160', '3463437', '11516145', '8615517', '6797172', '5020110', '9365146', '4859119', '12720792', '12720791', '9314140', '10740308', '12720793', '9311455', '8942640', '2916195']",['0463628']
"['0074996', '9702341', '0259304', '3775833', '0692792', '2832759', '2723426']",['2832759']
"['10740307', '4396933', '12679825', '3309461', '4440708', '4441200', '12714876', '4992675', '4992847', '12714875', '10866659', '12017391', '1688453']",['2495096']
"['10960360', '7802695']","['10960353', '11006049', '10971477', '11002243', '5399894', '7238902', '11033283']"
['5694753'],['5694753']
"['3463361', '8951084', '0609254', '3218786', '6020208', '1851641']","['2256657', '0609254']"
['1672007'],['1672007']
"['1738698', '0210485', '0210487', '2970951', '6420825', '1568089', '0347775', '0347776', '1809802', '2052281', '3034370']",['0093252']
"['0011508', '2059119']",['2059119']
"['2965582', '13191075', '7353894', '7499209', '2643369', '13191076', '8931453', '7951037', '2934722', '12589716', '12565232', '2993540', '12735334']",['2041678']
"['0028712', '2077084', '1328235']","['11314206', '6242822', '10489045', '11314205', '9004596', '11131215', '7980654', '9775027', '11314204', '8292381']"
"['10960360', '7802695']","['4974621', '5399894', '10745952', '11577175']"
['9487453'],['11339834']
"['11621729', '11621548', '11621728']",['11621726']
['11618882'],['11623408']
['11623436'],[]
['8231600'],['8231600']
['13271844'],['13271844']
[],['8899901']
"['4544958', '2275969', '2503512', '1957521', '0783205']","['0421559', '0956918']"
['5453883'],"['3903981', '0957002']"
['9844122'],['9844116']
['6758812'],['6758812']
['11675033'],[]
[],['9314353']
['10148813'],['10148813']
"['0557897', '2853376']","['0038013', '0478172']"
"['10960360', '7802695']","['11002243', '5399894', '8412889', '7238902', '10745952']"
[],['0866707']
"['0230032', '2169250', '0706032', '6040140']",['0768959']
"['13375996', '5863885', '13375995', '0605672', '0634020', '3474637', '4539529', '13375994', '5272308']",['5263494']
"['4320013', '5655235', '4796021', '7917975', '6427870', '1334063', '5811756', '4796049', '8631683', '2769891', '2038610', '1451168', '1294751', '10057856', '10057855', '4591534', '4667220']",['1295507']
"['0050097', '0490375', '0727235']",['5409246']
"['6995261', '1776737', '0441546', '1258118', '8289961', '2619713', '3679821', '5197781', '0949828', '0949899']",['0068034']
"['2095027', '11371791', '3874705', '1059442', '1507246']",['11317523']
[],"['2545504', '6515255']"
['8863085'],['8863085']
"['10960360', '7802695']","['6000343', '5399894', '11033283', '11005998']"
[],[]
"['12154164', '12154165', '2332735', '11043933', '2154327', '2286030', '3674021', '3105213', '11043938', '3514622', '10557088', '1780188', '12154167', '11790692', '5862500', '2515592', '2438022', '3000570', '9365140', '0757334', '12154166', '12154168', '4974442', '2514315', '2993540', '7399261']",['1598205']
"['0192032', '2176241', '11522589', '13106346', '4753729', '0617106', '13106345', '2520958', '5221877']","['8629841', '13106340', '0617106']"
['6727697'],['11311282']
"['10128868', '11327338', '10128869']",['11327332']
"['11329836', '11621638', '11329835']",['11621636']
[],['4425060']
['11471240'],['10651194']
"['11329812', '11329811']",['11621608']
[],[]
"['1615749', '2427162', '0790116', '0819505', '2770151']","['0230666', '1019583']"
"['11561541', '9658201', '11561543', '7268628', '11561540', '1480420', '11561544', '1491111', '4111213', '8753961', '3493540', '11561542', '11561539', '7210135']",['2705766']
"['10960360', '7802695']","['9349990', '10960353', '0529415', '5399894', '10745952', '11577443']"
"['11329812', '11329811']",['11329806']
['11621563'],['11621558']
['11621581'],['11621578']
"['0100040', '1934464', '2904825', '8753961', '3493540', '3679965', '0397492', '6379887', '6769481', '0505953', '2032614', '0776202', '2909250', '3859912', '5243594', '0894219']",['0821128']
['0766199'],"['2411128', '2731492', '12557839']"
"['11621548', '11621549']",['11621541']
[],['2022248']
"['10128868', '10128869', '6727697', '11928492']",['5643041']
['1494496'],"['4081209', '1494496']"
[],[]
['8752520'],[]
"['11603599', '11505473']",[]
[],[]
"['3537812', '0905509']",['2149505']
"['10039805', '8383438', '4049779', '5031599']","['1047615', '5031599']"
"['0471172', '1418413', '3262328', '2185375', '1882146']",['2320725']
"['9939400', '0091015', '1747075', '6672783', '4973414', '2775808', '0220195', '0315041', '0317943', '4677721', '8591978', '2537586', '2329165', '2608279']","['2329165', '1448881', '2578418']"
"['0181883', '0471172', '4204709', '3262328', '1882146', '3303706', '3617116']",['1602528']
"['11329836', '10631819', '11329835']",['11329830']
"['11329836', '10631819', '11329835']",[]
"['10128868', '11616332', '10128869']",[]
"['11923117', '11923118']",['11923111']
"['1108323', '0125830', '11052966', '5221980', '10749776', '5664387']",['9927025']
"['1244137', '3099018', '0444634', '1914856', '1590326', '1915556', '0567079', '13259586']",['1834360']
"['10104792', '11595616']",['12112547']
"['10051376', '10128868', '10128869']",['11601028']
"['11603599', '11505473']",['11505468']
['11152821'],['11152821']
"['6901989', '11595486', '9844121']",['11595483']
"['0007831', '8942444', '0167703', '0001060', '1259373', '2331668', '1950147', '5956481', '0693933', '0746273', '0810166', '0837112', '1186373']",['0148999']
"['4374917', '8769621', '4375179', '4375396', '4502556', '10387183', '7477781']",['4375396']
['7464936'],['7464936']
"['5198766', '7585695', '11385671', '5198549', '1460159', '2102733']",['5496245']
"['1377674', '2666393', '2689327']",['2666393']
[],['0458185']
['11675033'],['11675032']
[],['3808070']
"['3222917', '11150768', '1834413', '0192424', '0436901', '5230261', '7525069', '11580484', '11580483', '11150767', '2614565', '2612946', '3690416']",['1814874']
"['7817606', '7892976']",['7892976']
['2655922'],['2655715']
"['12518160', '3832545']",['3832545']
"['1779809', '2117510', '6526674', '3818627', '2777394', '2671101', '0823721', '12357827', '3818828', '0887263', '2178150', '4521461', '9097273']","['0214857', '0823721']"
"['5617606', '13625930', '7594296', '11924881', '10522973']",['5617606']
['6614458'],"['0766218', '2034008']"
"['5784844', '0214862', '11784611', '11784612', '11973660', '11784613', '0482532', '2906263', '12290658', '11973659', '5065794', '11951538', '11951539']",['5189705']
['3855692'],['11550832']
"['10096991', '4657765']","['11681098', '11681096', '11681097', '11681095', '11681094']"
"['12060902', '4096737', '6642580', '12060901', '2731232', '5622287', '1436417', '4022213', '4963024', '3838311', '12037245']",['2916570']
"['0192032', '1996320', '4032004', '3620796', '2073759', '6298415', '2219330', '3606324']","['1110313', '4206141']"
"['9383233', '8513220']",['6607709']
"['12093107', '9817496', '12156067', '9883801']",['9817496']
"['11923412', '11923411']",['11923408']
"['11651533', '0124900', '9364944', '0291572', '0402347', '1627265', '2864129', '6155583', '10582836', '0683407', '2468128', '7472552', '2603919', '6816881', '3395326', '1306678', '11651535', '0930964', '1284806']",['0249897']
"['10662520', '10128868', '11843892', '10128869']",['2209837']
['7279709'],['7279709']
"['1108323', '0125830', '11052966', '5221980', '10749776']",['9927025']
"['10960360', '7802695']","['11002265', '9349990', '4974621', '2913370', '11002175', '11526332']"
[],['9225421']
"['2865127', '11964393', '11964392', '5621689', '2427032']","['2967345', '2013928']"
[],['4843792']
['12193019'],['12193020']
[],['5128591']
[],['6660754']
"['8933615', '12046547']",['8933615']
"['3847905', '2667174', '3686238']","['4706658', '3326136']"
"['3985204', '2350491', '1929880', '0384864']",['0384722']
['10939422'],['11220345']
[],['5694753']
"['0113794', '0312188', '0723704', '3778168', '0950055']",['0723704']
"['0075528', '0507058', '1882146', '1150863']",['2996471']
"['12940286', '12940291', '12940289', '12473034', '4234619', '9718199', '12473031', '2459558', '12940287', '12940288', '12940290', '12473030', '12473033', '12940292', '2276286', '12473032']","['2217976', '2457303']"
[],['5799519']
"['3304817', '0173886', '3570085', '1124614', '2309287', '1622245', '3626980', '10304977', '0828966', '7560480', '9311308']",['9311308']
"['3006087', '10216251', '0873751', '0875651']","['0316021', '0312881']"
"['2949845', '0219785', '10110081', '1803236', '3455788', '8682002', '4033680', '1668066', '0801215', '2789508', '6541504', '1236489']",['0799688']
"['3309461', '12622566', '2137662', '6851864', '6957740', '5992157', '2193038', '12913895']",['2951802']
['12334910'],['7870422']
"['0107197', '3892092', '0879321']",['3892092']
"['2836276', '1474983', '2855084']",['5899857']
[],['7691142']
"['0000720', '0000957', '9105751', '0001878', '0958387']","['0000720', '13141003', '0000957', '9105751', '0001878', '0958387']"
[],[]
"['1959830', '0550578', '0693933', '1329464']",['1401131']
"['0460458', '2522684', '0635379', '0444634', '1750217', '13259586', '4059717', '3144268', '9782110', '6194920']",['0375876']
['11991291'],['11991291']
['13029766'],['11593800']
['13121127'],['13121127']
['8502044'],['2179469']
"['10960360', '7802695']","['11005999', '4974621', '13587939', '11002177', '11414148', '12650099', '12140627', '9667724']"
"['10128868', '11775971', '10128869']",[]
['10648040'],['10648040']
['1372858'],['0060505']
['3597741'],[]
[],['4186854']
"['13080717', '9161626', '13080713', '6662795', '13080718', '13080714', '13080716', '2937713', '13080715', '12442885']",['3558314']
"['4384336', '8557208', '0116369', '2512153', '0352644', '4384370', '1119079', '4939776', '2847097', '2897837', '2228020', '0794398', '1316072', '11969398', '2727721', '11969397']","['1119079', '2075487']"
"['1027050', '4911250', '0507058', '1882146']",['1027050']
"['0082839', '10049474', '6019103', '0493662', '0573732', '0862668', '3860684']",['0573732']
['9844122'],['9844116']
['9167509'],['0766272']
['10573946'],['1660249']
['11917380'],['11917379']
[],['4911300']
"['0368979', '2511908', '2488088', '2797554', '3441844', '6614458', '2488310', '5941683', '2981093', '3639621', '4438749', '9785237']",['2518118']
"['3113835', '1213129', '3212701', '6128638', '3511954', '3978847']","['0312881', '6160669']"
"['2435550', '2966130', '0955100']",['3575075']
"['0231205', '2358786', '2360445', '10419126', '8951084', '3974506', '1771198', '5109376', '1589255', '1302411', '2191144', '6071803', '1851641', '1471429']","['0257355', '2191144']"
[],['12492574']
"['6222943', '10560858']",['6222943']
"['1434647', '9290267', '2669989']",['2669989']
['2815358'],"['6538002', '11082788']"
['6377476'],['8002994']
[],['4823962']
['10279135'],['10279135']
"['7571652', '8181309']",['11416171']
['0797461'],['0947869']
['11843892'],['1802130']
"['10128868', '10128869', '6727697', '11843937']",['11311282']
['11330323'],['11330320']
"['0054391', '11843892']",['1802130']
"['11928196', '9909261']",['11928190']
"['8557208', '0116369', '2897837']","['0041334', '4847458', '0665262']"
['1509886'],['1509886']
"['0077986', '2790572', '2303747', '0191294', '3284014', '7782138', '1416642', '1417039']",['2677924']
"['1761183', '3382137', '7851825', '0313295', '8343196', '5990301', '2017654']",['3382137']
"['0000720', '0249897', '3597252', '0655699']","['3597252', '9105751', '0655699']"
"['1848009', '1445746', '1733918', '0729304', '0768959', '1661130']","['0230032', '5358492']"
"['2949845', '0219785', '10110081', '1803236', '3455788', '8682002', '4033680', '1668066', '0801215', '2789508', '6541504', '1236489']",['0799688']
"['7751722', '0073316', '1055159', '0609265', '0006905', '2009199', '2707691', '4458313', '1321548', '0861997']",['3014829']
"['10818424', '11729745', '11739661', '11743379', '11743377', '11739660', '11739683', '11739684', '11745542', '11739662', '7925228', '11743380']","['11739660', '11739664']"
"['2759607', '5185907', '11006136', '3051832', '2324815', '6937138', '6958535', '2965862']",['6466474']
"['12138847', '2137662', '4992675', '5992157']",['1417038']
"['1513657', '11904427', '0443855', '0470614', '2548474', '0809126', '2937345', '0946003', '4566528']","['0443855', '0434969']"
[],['1417038']
"['8228563', '8228564']",['8228564']
