producers,directors
"['0007831', '0041710', '0000318', '0294553', '0710020', '1949043']","['0000318', '0425843']"
[],"['3612874', '5606433', '12101984', '1938932', '2520682', '12101983', '1090408', '12101985', '12101982', '12101980']"
"['4899020', '1155309', '0745199']","['0753032', '0745199']"
['1236489'],['0629306']
"['9733518', '7306723', '7279948', '6094066']",['6094066']
"['2208958', '1144191', '0349050', '2521344']",['2003065']
"['0473544', '1323581', '1019091', '0948971']",['0866707']
['0295627'],['0629216']
"['2337725', '0474897', '2337645', '1709471', '3439866', '3042580']","['2100922', '0880323']"
"['1263087', '1252303']","['0739485', '1253076']"
"['1037838', '0489901', '1921754', '0701255', '1320407']",['1350006']
"['1275326', '0298427']",['0227540']
"['0303502', '0436047', '0473622', '0474318', '1925847', '1562832']",['0840905']
"['0040148', '0088173', '0320125', '1726457', '1848232', '1599623', '1726876']",['0939986']
['0529792'],['2094292']
"['0226214', '0349050', '1549553', '2132279', '0536385', '0557897', '1583216', '0843431', '0905053']","['0503497', '0845660']"
"['1298112', '2304965', '1302985']",['0255540']
"['1145314', '0357319', '0454070', '2063306', '2433512', '0620457', '3021010', '2434618', '0850879', '2432299']",['0837485']
"['0393847', '1841157', '12178904', '0522464', '0589649', '0067981', '0836506']","['0249897', '0250410', '0498555']"
"['0473561', '2166622', '1082471', '0879814']","['0476663', '0856802']"
['1583216'],['0800884']
"['2110492', '2212098', '2144695', '1442670', '0998187']","['0350845', '2157705']"
"['0014470', '2002233', '0223277', '0287805', '0320786', '0441842', '0456946', '1660948', '0626100', '0824419', '0876195', '0903778', '0938935']",['0149665']
"['0174060', '1902250', '1803597']",['0335542']
['0033248'],['0033248']
[],['0635956']
['0441394'],['1278058']
['0300372'],"['0390974', '6866727', '0208544', '1424080', '0333846', '2806644', '0418242', '0512492', '13631336', '9300473']"
[],[]
[],"['4900481', '4740985']"
['10201404'],['0486431']
[],['0180664']
['0092001'],[]
[],['1672034']
"['0132369', '0342545', '0423132']",['0118526']
"['2681285', '3435824', '1908443', '1907937', '2240837', '3077616', '3436662', '0475602', '2890950', '2996848', '2243434', '3437690']",['1537069']
